sleep [s],requesting device [ms],load model [ms],inference [ms],end-to-end [ms]
6,3591.512891,1381.580119,952.179332,6237.271589
6,5422.830931,1487.96317,952.836175,8067.608239
0,6283.594369,1390.619748,842.421465,8718.209218
2,206.501239,1381.042963,844.501874,2877.585929
9,6962.874188,1488.701649,962.608286,9616.269091
1,6102.878169,1375.250697,864.704958,8545.058561
0,206.374782,1374.679615,770.367335,2662.12812
1,1389.869425,1504.249566,843.817545,4049.770779
1,5317.361906,1379.759248,872.193314,7771.538277
3,2960.505076,1448.302941,775.332877,5431.082946
9,4795.488628,1478.861807,858.338987,7335.37609
8,3964.050072,1391.244621,841.269817,6443.084023
3,3808.524939,1381.166613,974.010367,6399.442125
4,6428.868852,1477.397395,868.999066,9068.220244
1,6471.129818,1386.995723,861.010367,8921.527209
9,6314.522845,1412.198933,958.011375,8883.596114
4,7414.833289,1479.154756,955.917995,10052.43405
5,4459.87315,1360.15856,769.943152,6795.604014
9,7036.087836,1388.336484,780.795368,9507.195759
1,6966.874766,1478.652015,948.581818,9596.109574
7,3278.164735,1390.533924,902.358868,5840.780533
5,2914.496514,1408.660481,859.667368,5469.241944
2,5587.626231,1477.208905,958.12025,8224.607107
6,6604.847688,1385.874897,960.153951,9155.815054
3,206.502148,1526.232448,856.210846,2787.784461
5,6293.872691,1481.663004,856.905278,8922.269113
6,6426.873149,1379.547894,938.955654,8947.01239
7,3661.048264,1386.643484,871.173865,6213.42199
9,6091.228251,1482.578943,868.748018,8736.088562
5,2780.872704,1364.420212,939.299606,5285.827536
9,5301.515634,1409.15961,868.990368,7892.078269
0,4669.028213,1488.485545,778.73783,7246.431144
6,3826.432146,1410.133909,854.482215,6344.524553
7,4343.985045,1380.729945,824.760894,6802.532433
8,5360.637176,1484.10897,772.995613,7924.089082
7,3495.873149,1366.172267,855.431721,5918.6102
7,4567.087672,1433.197317,854.054309,7088.791433
4,6248.449234,1485.557107,819.875569,8806.766088
10,3645.834671,1397.823299,769.784111,6063.607516
4,1995.336868,1498.363433,860.257358,4552.880556
4,6178.629298,1484.035692,770.317463,8741.254614
10,3483.870746,1374.446861,950.651756,6014.283557
1,206.50632,1375.261636,811.839325,2703.077051
9,6703.469946,1476.641636,844.03214,9226.080255
10,3269.869443,1391.611787,871.179633,5766.55871
3,206.525135,1533.24913,875.298367,2816.065661
0,2896.417603,1607.030852,865.791706,5571.03239
8,6118.806457,1408.696384,870.733592,8696.54874
5,3607.50505,1386.23561,775.642285,6081.258591
7,4572.417431,1500.912087,872.304544,7225.078301
7,3692.83038,1362.759828,945.677406,6202.885791
8,5373.505075,1381.610205,822.557373,7874.297231
6,5949.891741,1481.395971,851.450513,8487.477404
4,3155.873213,1365.188291,951.953533,5674.778028
2,2019.981788,1381.202304,875.835854,4586.083014
1,4811.833206,1481.197699,967.383504,7522.576136
10,6011.724146,1395.226465,854.450613,8562.265568
10,6724.097901,1384.150728,865.512785,9172.607072
0,5799.030626,1502.237383,854.099234,8361.367515
8,2333.87216,1401.668954,864.895123,4843.248103
