sleep [s],requesting device [ms],load model [ms],inference [ms],end-to-end [ms]
6,3307.507764,1382.316957,1222.658862,6135.350984
6,6463.824462,1478.308466,1142.956283,9333.464922
0,6216.585809,1367.763182,1103.653159,8958.845709
2,206.503298,1601.238485,1106.958359,3165.532463
9,6296.824023,1478.048828,1102.974089,9188.771951
1,6388.427149,1367.080974,1095.019496,9164.543066
0,207.071677,1381.607457,1189.824835,3082.649765
1,1254.872286,1621.844313,1109.981126,4189.497658
1,3022.833274,1376.495472,1249.765476,5856.633635
3,11351.508201,1508.225999,1077.236386,14184.483461
9,5215.082961,1482.23682,1057.98594,7960.799889
8,1178.836081,1375.765845,1055.072822,3811.479633
3,260.508511,1385.886976,1177.81935,3123.252512
4,5172.833735,1472.122304,1154.404696,8115.081115
1,9278.872194,1366.819369,1052.266597,11899.794566
9,2379.514543,1505.929593,1067.820348,5199.445348
4,7325.870356,1472.705799,1076.704723,10165.60371
5,6253.86212,1413.189703,1065.199744,9073.569501
9,8226.517231,1388.22098,1049.824376,10863.08145
1,7873.654696,1510.48983,1103.275081,10736.640067
7,3987.873211,1388.159733,1006.270281,6583.794521
5,2371.50878,1414.200581,1089.762853,5216.42605
2,5138.868915,1559.807534,1105.008337,8079.473698
6,5475.871309,1379.874484,1107.496983,8262.613669
3,2230.506207,1402.724949,1121.61738,5034.004967
5,5377.875726,1483.775735,1170.271839,8328.08559
6,5360.845148,1372.349575,1196.602383,8234.810045
7,13130.288724,1380.589292,1062.629342,15772.532449
9,5642.872573,1470.194109,1166.088891,8480.752034
5,192.875052,1551.748845,1011.285897,2957.8015
9,5246.506357,1398.491592,1106.764807,8057.066018
0,5880.357163,1479.973319,1113.443514,8678.176593
6,4868.870798,1407.741806,1077.866919,7690.314624
7,1452.508633,1409.649956,1075.146327,4185.557513
8,7469.824111,1476.471167,1116.234112,10353.741938
7,5198.83521,1410.187587,1085.22066,7941.871528
7,4239.509463,1401.684961,1104.870378,7053.637234
4,5541.452686,1476.060622,1103.648646,8416.847938
10,4128.835127,1413.294776,1169.354943,6939.423538
4,298.509187,1390.644448,1096.941371,3198.533016
4,5206.230992,1506.131574,1098.245835,8101.425286
10,5438.050196,1375.037705,1079.652237,8197.081545
1,206.502294,1374.066613,1138.805845,3149.076639
9,6340.830866,1477.463368,1087.580489,9195.627774
10,5352.859158,1371.900524,1153.892231,8120.416562
3,22904.511278,1406.470433,1060.21137,25569.622804
0,5800.025303,1470.28713,1188.625904,8660.88123
8,182.83408,1542.863386,1004.058264,2931.422
5,1296.477168,1380.66632,1202.705352,4130.515597
7,5397.889773,1488.458309,1166.642064,8303.052951
7,4336.86823,1407.288737,1164.891136,7150.441635
8,2396.520688,1426.92946,1053.874367,5230.621146
6,8417.090705,1515.692406,1097.077199,11339.43208
4,5845.834198,1367.662309,1162.141369,8577.331053
2,206.820175,1521.187951,1057.462382,3078.528159
1,2141.831866,1477.435506,1084.148143,5010.687772
10,8641.872809,1367.148198,1177.129127,11476.784194
10,3407.77313,1426.358936,1058.375859,6242.633127
0,6241.558599,1477.740846,1051.590992,9086.975939
8,5429.873654,1412.848435,1149.420607,8242.081531
