sleep [s],requesting device [ms],load model [ms],inference [ms],end-to-end [ms]
6,2967.528783,1384.105597,932.331882,5593.578698
6,4943.010113,1629.008087,949.977621,7773.490709
0,7002.171657,1402.718857,1013.623009,9668.156055
2,225.558948,1568.074652,946.313894,2985.07603
9,7609.875212,1482.497751,944.553531,10414.085609
1,7847.555177,1367.763206,933.543839,10464.635065
0,207.407975,1372.088098,998.500348,2873.334246
1,1201.009824,1686.032509,938.870073,4027.505781
1,4920.869968,1517.569894,913.816632,7559.460761
3,7051.527972,1380.704616,943.569901,9751.895123
9,6761.236261,1568.138137,938.598686,9478.497175
8,2972.052271,1385.93255,854.740086,5414.555164
3,3128.518676,1381.255119,988.020859,5804.613093
4,6713.009713,1614.027475,930.223351,9556.078234
1,7753.231325,1368.12514,950.670773,10273.904716
9,5728.516825,1381.053452,1088.502841,8436.863984
4,6095.87327,1505.938809,944.400318,8835.216581
5,2792.862511,1400.118462,1047.568793,5464.602406
9,6787.519194,1426.492465,917.428887,9501.839986
1,6070.874735,1591.110352,939.397812,8818.215598
7,3519.874695,1367.262919,948.610299,6062.093047
5,3062.517396,1585.739595,940.135359,5788.201553
2,7859.009136,1476.009774,1061.700212,10662.907224
6,4826.000434,1381.189409,939.730554,7451.068031
3,246.519359,1390.937949,1020.267388,2939.358031
5,6677.872687,1474.19429,1095.843558,9560.490262
6,7402.882657,1384.563669,923.467535,9916.495569
7,4104.518333,1472.48498,939.1259,6714.863514
9,7732.873748,1483.16615,922.479413,10395.845087
5,3488.20757,1378.291621,928.493198,5996.837399
9,7586.345996,1521.20557,935.889809,10290.626985
0,5258.592528,1509.904791,936.466161,8015.222883
6,3747.874203,1372.454288,939.823886,6360.873048
7,6750.51886,1451.722135,933.861851,9399.282581
8,6958.011638,1477.223929,945.797893,9680.264169
7,1671.886794,1385.367262,847.431951,4108.505645
7,4824.296498,1376.556113,1011.828879,7487.724146
4,5101.870975,1484.217291,998.856139,7850.494798
10,4512.870956,1367.480101,1015.904487,7098.372225
4,1189.518391,1550.060456,944.731897,3913.636964
4,6782.863079,1526.105585,946.427812,9535.45745
10,3812.863526,1403.188482,1004.18434,6452.529887
1,206.512677,1385.265953,936.930849,2962.216545
9,6592.873258,1644.27098,950.726841,9451.553117
10,4257.084142,1385.569005,918.648588,6767.474054
3,1087.51667,1386.892949,970.373881,3858.999813
0,4083.23949,1484.944705,916.251544,6717.008361
8,6735.873731,1370.390556,909.092561,9258.622594
5,2084.51719,1390.068459,951.0174,4875.642017
7,5658.874732,1557.934401,912.948089,8427.48017
7,3765.22818,1367.190634,942.892626,6378.173049
8,4929.518474,1425.691999,910.917382,7636.490939
6,7813.873829,1475.913877,1041.112969,10623.64159
4,3674.594797,1392.733836,935.442647,6307.624049
2,206.641931,1513.960935,943.753325,2953.492515
1,2169.081739,1666.368367,933.543809,4970.908145
10,5635.864528,1371.96134,1022.485419,8344.834923
10,6696.60351,1559.905133,919.126384,9381.894976
0,6094.570392,1486.175646,926.368328,8814.970799
8,3186.666816,1395.862659,954.955851,5739.604129
